00001,Laskar Pelangi,Fiksi,Andrea Hirata,6
00002,Pengantar Diskrit,Ilmiah,Bambang Suryo,7
00003,Crypto Currency,Teknologi,Satoshi Nakamoto,5
00004,Life in Moscow,Sejarah,Daniil Dubov,6
00006,Atomic Habits,Pengembangan Diri,James Clear,6
00007,Pemrograman Java Dasar,Teknologi,Abdul Kadir,9
00008,Matematika Diskrit untuk Informatika,Pendidikan,Rinaldi Munir,11
00010,Filosofi Teras,Filsafat,Henry Manampiring,14
00158,Life in indoneisa,Sejarah,JUnday,4
00119,BIMBING,Non-Fiksi,Aqila Al Jundy,5
00014,Mindset Busnissman,Ilmiah,Robert Hendigson,3
00070,Micro Organisme,Sains,Joseph Miller,2
00005,Realita Masuk Dunia Kerja,Modul,Xexen Naori,3
00015,munir,sejarah,alex arlnold,3
00016,Resep mama,Edukasi,Renata,9
00021,10 dosa besar seo,Sejarah,Nadim,10
00022,Jujutsu Kaisen,Fiksi,Gege Akutami,15
00023,Rich Dad Poor Dad,Keuangan,Robert Kiyosaki,8
00024,Laut Bercerita,Fiksi,Leila S Chudori,6
00025,Negeri 5 Menara,Fiksi,Ahmad Fuadi,7
00026,The Psychology of Money,Keuangan,Morgan Housel,10
00027,Clean Code,Teknologi,Robert C Martin,5
00028,Deep Work,Pengembangan Diri,Cal Newport,4
00029,Bumi,Fantasi,Tere Liye,10
00030,Pulang,Fiksi,Tere Liye,7
00031,Atomic Design,Teknologi,Brad Frost,5
00032,Algoritma dan Pemrograman,Teknologi,Rinaldi Munir,11
00033,The Pragmatic Programmer,Teknologi,Andrew Hunt,4
00034,Seni Bersikap Bodo Amat,Pengembangan Diri,Mark Manson,12
00035,Thinking Fast and Slow,Psikologi,Daniel Kahneman,4
00036,Harry Potter dan Batu Bertuah,Fantasi,J K Rowling,13
00037,One Piece Red,Manga,Eiichiro Oda,7
00038,Naruto Shippuden,Manga,Masashi Kishimoto,6
00039,Attack on Titan,Manga,Hajime Isayama,8
00040,Dr Stone,Sains,Riichiro Inagaki,5
00041,Fisika Dasar,Pendidikan,Halliday,9
00042,Kimia Organik,Pendidikan,Raymond Chang,4
00043,Basis Data,Teknologi,Abdul Kadir,7
00044,Artificial Intelligence,Teknologi,Stuart Russell,3
00045,Machine Learning,Teknologi,Tom Mitchell,4
00046,Solo Leveling,Manhwa,Chugong,10
00047,Demon Slayer,Manga,Koyoharu Gotouge,8
00048,Belajar Java untuk Pemula,Teknologi,Jubilee Enterprise,11
00049,Matematika Teknik,Pendidikan,Erwin Kreyszig,5
00050,Dasar Dasar Statistik,Pendidikan,Walpole,6
00051,Pemrograman Berbasis Objek,Teknologi,Indrajani,7
00052,Rekayasa Perangkat Lunak,Teknologi,Rosa A S,5
00053,Sapiens,Sejarah,Yuval Noah Harari,9
00054,Homo Deus,Filsafat,Yuval Noah Harari,4
00055,Filosofi Kopi,Fiksi,Dee Lestari,7
00056,Laskar Pemimpi,Fiksi,Andrea Hirata,6
00057,Data Science Handbook,Teknologi,Jake VanderPlas,5
00058,Cyber Security Basics,Teknologi,Charles Brooks,8
00059,Komunikasi Data,Jaringan,Forouzan,6
00060,Jaringan Komputer,Jaringan,Tanenbaum,5
00091,Rongawi,Fiksi,Ambatukam,5
00092,Ilmu Tasawuf,Ilmiah,H.Wijoyoningrat,10
